Unnamed: 0,Unnamed: 0.1,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet,vader_sentiment,vader_score
301,301,business,"LATEST: Microsoft’s directors started a probe into Bill Gates’s alleged involvement with a female employee that was deemed inappropriate and decided that the co-founder had to step down from the board last year, Dow Jones reports https://t.co/xi0jWrEOcw $MSFT",2021-05-16 23:32:39+00:00,7569363,101,342,808,late director start probe bill gate allege involvement female employee deem inappropriate decide co founder step board last year dow jones report,neu,0.0
302,302,cinnamon_msft,"Me before coffee this morning: Yeah I only know of two ridesharing apps, Linux and Ubuntu

Friend: ...Do you mean Lyft and Uber?

Me: ...🤦‍♀️",2021-05-13 16:48:56+00:00,17930,21,27,413,coffee morning yeah know two ridesharing apps linux ubuntu friend mean lyft uber,neu,0.6597
303,303,RaoulGMI,"Small thought for the day - 

Since inception in 1896 the Dow Jones has risen by 90,000%. If you add in dividends, you might get to 200,000%.

MSFT 330,000%
AAPL 88,00%
AZMN 138,000%

Bitcoin since inception in 2010 has risen 105,000,000%

Indeed.",2021-05-12 18:46:38+00:00,672370,212,605,3944,small think day since inception dow jones rise add dividend might get aapl azmn bitcoin since inception rise indeed,neu,0.0
304,304,Biohazard3737,"$MSFT, $FB, $GOOGL and $AMZN are terrible businesses to own during inflation. Low margins, require tons of raw materials, no pricing power, etc...",2021-05-12 16:23:13+00:00,24571,48,57,900,fb googl amzn terrible business inflation low margin require ton raw material price power etc,neu,-0.6369
305,305,dog_shill,"BARK BARK BARK BARK BARK

LMAO, ADIOS $MSFT

SOLID TIME FOR A DIVORCE @BillGates, GOTTA SAVE THOSE BILLIONS THAT WOULD OTHERWISE GO TO THE POORS FOR YOUR BAD BETS W/ SHADY ""FRIENDS""

SOLID ABUSE OF @USAGov's JUSTICE SYSTEM

10/10 AM SURE YOU'LL DO IT AGAIN

BARK BARK BARK BARK",2021-05-12 15:04:02+00:00,28691,8,29,316,bark bark bark bark bark lmao adios solid time divorce gotta save billion would otherwise go poor bad bet w shady friend solid abuse justice system sure bark bark bark bark,neu,0.7506
306,306,Tiagogreis,"Valorização das Big Techs desde o IPO:

Apple $AAPL 100.000%
Microsoft $MSFT 252.000%
Facebook $FB 734%
Amazon $AMZN 3.289%
Google $GOOGL 4.242%",2021-05-11 12:08:18+00:00,147964,4,6,279,valorização da big tech desde ipo apple aapl facebook fb amazon amzn google googl,neu,0.1779
307,307,cinnamon_msft,"THIS IS HUGE! Cascadia Mono is the default monospace font in Stack Overflow on Windows!! 😍😍😍

https://t.co/2FdnZFdp3n",2021-05-10 19:30:17+00:00,17930,7,20,241,huge cascadia mono default monospace font stack overflow window,neu,0.3182
308,308,GossiTheDog,"My time at MSFT taught me this about big game ransomware:

- Almost without exception, ransomware actors had set off alerts like Xmas trees
- orgs often didn’t do anything w/ alerts
- config issues: lack of tamper protection, EDR in block mode, AutoIR enablement were big misses",2021-05-10 16:55:44+00:00,103782,16,211,1009,time teach big game ransomware almost without exception ransomware actor set alert like xmas tree orgs often anything w alert config issue lack tamper protection edr block mode autoir enablement big miss,neu,0.0258
309,309,Convertbond,"Since ""Blowout"" Earnings

Amazon $AMZN -10%
Facebook $FB -7%
Apple $AAPL -6%
Google $GOOGL -6%
Microsoft $MSFT -5%

via @BearTrapsReport",2021-05-10 14:16:33+00:00,75997,38,100,646,since blowout earn amazon amzn facebook fb apple aapl google googl via,neu,0.1779
310,310,daniel_toloko,"$MSFT is probably one of the most amazing companies ever built

But if you overpaid for shares in 1999 you had to wait till 2016 to breakeven ( excluding dividends) 

Paying a good price is paramount 👇 https://t.co/7ojUXfdBM2",2021-05-09 10:42:24+00:00,6035,137,341,2794,probably one amaze company ever build overpay share wait till breakeven exclude dividend pay good price paramount,neu,0.743
311,311,pamelarosiedee,"Pulled my phone from corp management - SURPRISE my authenticator app was deleted!  Lost no personal MFA codes because backups were on.  If you are reading this and you don't have a backup account set in your MSFT authenticator app, now is a good time to fix that (read on for how)",2021-05-08 23:19:14+00:00,5705,33,101,420,pull phone corp management surprise authenticator app delete lose personal mfa code backup read backup account set authenticator app good time fix read,neu,0.3182
312,312,supercimomo,"Valuation update on #FAAMG

If you want to “rotate to value”, here are some value stocks worth looking into.

Out of the batch, the cheapest is $FB, followed by $AMZN, $GOOG, $AAPL and the most expensive is $MSFT.

Note that I did not discount regulatory risks. https://t.co/0TVyaCcNES",2021-05-07 22:07:08+00:00,1856,19,71,429,valuation update want rotate value value stock worth look batch cheap fb follow amzn goog aapl expensive note discount regulatory risk,neu,0.5994
313,313,DenelonMs,We're getting ready to publish the next release of the Windows Package Manager. Check out the progress spinner in the Windows Terminal Tab @cinnamon_msft https://t.co/QZI8juTaKx,2021-05-07 14:28:59+00:00,920,14,50,374,get ready publish next release window package manager check progress spinner window terminal tab,neu,0.6486
314,314,BackpackerFI,"Great companies don't care about your TAM projections.

FAAMG revenue streams 👇🏻

$FB $AAPL $GOOG $MSFT $AMZN https://t.co/KdaEUSfZUO",2021-05-07 03:19:23+00:00,57199,9,48,287,great company care tam projection faamg revenue stream fb aapl goog amzn,neu,0.8074
315,315,srlm,"ESPANHA começará experimento com 200+ empresas para avaliar QUATRO dias de trabalho por SEMANA, com o mesmo SALÁRIO, como uma possível norma para o país: https://t.co/kdd1FCI6EQ.

no JAPÃO, um teste na $MSFT mostrou 40% mais produtividade e 92% dos trabalhadores mais satisfeitos. https://t.co/0lrARIf75C",2021-05-05 22:41:02+00:00,160009,8,30,241,espanha começará experimento com empresas para avaliar quatro dia de trabalho por semana com mesmo salário como uma possível norma para país japão um teste na mostrou mais produtividade e do trabalhadores mais satisfeitos,neu,0.0
316,316,HeroDividend,"10 stocks that are built to last📈

Johnson and Johnson $JNJ
Waste Management $WM
Digital Realty Trust $DLR
Realty Income $O
Home Depot $HD
Microsoft $MSFT
Coca-Cola $KO
Target $TGT
Disney $DIS
Visa $V",2021-05-05 20:03:49+00:00,31716,19,66,378,stock build last johnson johnson jnj waste management wm digital realty trust dlr realty income home depot hd coca cola ko target tgt disney dis visa v,neu,0.128
317,317,Investingcom,"*BILL GATES’S FIRM TRANSFERRED $1.8 BILLION IN STOCK TO MELINDA GATES AMID DIVORCE - WSJ

$MSFT https://t.co/cCZ1rIH1GJ",2021-05-05 16:48:11+00:00,599514,35,113,453,bill gate firm transfer billion stock melinda gate amid divorce wsj,neu,0.0
318,318,maasi_kabuo,"GWとか関係なく投資したい米国企業10選

①AAPL
②MSFT
③AMZN
④FB
⑤GOOG
⑥TSLA
⑦BRK.B
⑧JPM
⑨JNJ
⑩V

どうしても個別株投資したいなら、
騙されたと思ってこの中からの選択をおすすめします。

しかし、一本でこれら全てに投資できるものがある…

そう、S&amp;P500ならね！",2021-05-05 03:00:11+00:00,43519,3,21,381,gw10 ①aapl ②msft ③amzn ④fb ⑤goog ⑥tsla ⑦brk b ⑧jpm ⑨jnj ⑩v amp p500,neu,0.0
319,319,JesseCohenInv,$AAPL $AMZN $MSFT $GOOGL $FB $TSLA $NVDA $BABA $PYPL https://t.co/KrGvBdgXke,2021-05-04 16:10:14+00:00,33312,41,141,502,aapl amzn googl fb tsla nvda baba pypl,neu,0.0
320,320,CaptainNasdaq,"BREAKING:

Melinda French (formerly Gates) has sold $60B worth of $MSFT stock and is investing the proceeds in SalesForce and Apple. The massive selloff has caused the company’s shares to plummet. Incredible news for $MSFT bears.",2021-05-04 03:00:24+00:00,35057,37,60,782,break melinda french formerly gate sell 60b worth stock invest proceed salesforce apple massive selloff cause company share plummet incredible news bear,neu,0.4767
321,321,wallstmemes,Melinda Gates should've divorced Bill last week when $MSFT was trading at all time highs,2021-05-03 20:50:24+00:00,100159,23,72,1160,melinda gate divorce bill last week trade time high,neu,0.0
322,322,SJosephBurns,Bill Gates and Melinda Gates are splitting up after 27 years: @CNBC $MSFT,2021-05-03 20:41:10+00:00,405398,44,43,352,bill gate melinda gate split year,neu,0.0
323,323,SJosephBurns,"Which two of these companies could you completely stop using all their products and services forever: 

$AAPL
$GOOGL
$AMZN
$FB
$MSFT
$TWTR
$DIS
$WMT
$MCD",2021-05-03 11:29:31+00:00,405398,398,27,243,two company could completely stop use product service forever aapl googl amzn fb twtr dis wmt mcd,neu,-0.3597
324,324,jicchamatome,"👴21年第1四半期決算 これまでの好決算銘柄一覧
$GOOG $AAPL $AMZN $FB $MSFT $AMD $PINS $UPS $TSLA $BKR $XOM $CVX $DRVN $CROX $SWKS $SPGI $MSCI $POWI $IBM $HOG $KO $PEP $TSM $WFC $GS $JPM $LEVI $ASML $PM",2021-05-03 09:00:00+00:00,107018,4,54,445,goog aapl amzn fb amd pin up tsla bkr xom cvx drvn crox swks spgi msci powi ibm hog ko pep tsm wfc g jpm levi asml pm,neu,0.0
325,325,1MainCapital,"Ok, have a friendly bet w wifey.

Of the following, if you had to stop using the products/services of two of these companies completely, which would you get rid of?

$FB, $AMZN, $MSFT, $GOOG, $AAPL",2021-05-02 20:41:34+00:00,16315,1806,46,650,ok friendly bet w wifey follow stop use product service two company completely would get rid fb amzn goog aapl,neu,0.4939
326,326,ITguySoCal,MSFT E5 costs 60% less than the combined price for OKTA+ProofPoint+Crowdstrike+Netskope. And here’s the kicker: MSFT is neck and neck with with these vendors in the Gartner Magic Quadrant. #ConsolidationWithoutCompromise https://t.co/Ake4hHnYqX,2021-05-01 06:03:40+00:00,2679,22,107,396,e5 cost le combine price okta proofpoint crowdstrike netskope kicker neck neck vendor gartner magic quadrant,neu,0.0
327,327,alsabban1982,"My stocks in each area-

Genetics 🧬- $ARKG $CRSP $BNGO
AI 👤- $GOOGL $NVDA $CRM $IBM $MSFT
Robotics 🦧
Blockchain 🦧
Renewable Energy ☀️- $BEP $TAN $ICLN
Auto 🚗- $TSLA $NIO $GM
Real estate 🏡- $FRT
Semiconductors 📱💻- $INTC $TSM $ASML
Social 🧑‍💻- $FB
Pharmacy 💊- $WBA $CVS https://t.co/p8DKVqzQpf",2021-04-30 20:07:26+00:00,134793,7,22,308,stock area genetics arkg crsp bngo ai googl nvda crm ibm robotics blockchain renewable energy bep tan icln auto tsla nio gm real estate frt semiconductor intc tsm asml social fb pharmacy wba cv,neu,0.2732
328,328,TrungTPhan,"Spent last 72 hours looking at European tech stocks

Here’s my recommendation on what to buy: $FB, $AMZN, $AAPL, $MSFT, $GOOGL",2021-04-30 15:01:24+00:00,212913,42,57,1218,spend last hour look european tech stock recommendation buy fb amzn aapl googl,neu,0.0
329,329,Beth_Kindig,"After the busiest week of Q1 earnings, we take a look at which stocks outperformed revenue estimates the most.

$NIO $SHOP $AAPL $FB $AMD $GOOGL $AMZN $PINS $MSFT $TSLA $TDOC https://t.co/PIr3WPJR7R",2021-04-30 14:26:58+00:00,99092,23,138,612,busy week q1 earn take look stock outperform revenue estimate nio shop aapl fb amd googl amzn pin tsla tdoc,neu,0.0
330,330,charliebilello,"At $7.5 trillion, the combined market cap of Apple, Microsoft, Amazon, and Google is higher than the GDP of every country in the world with the exception of the US and China.

$AAPL $MSFT $AMZN $GOOGL

Charting via @ycharts https://t.co/HHhN6aJKL7",2021-04-29 20:29:38+00:00,311993,54,321,862,trillion combine market cap apple amazon google high gdp every country world exception u china aapl amzn googl chart via,neu,0.1779
331,331,charliebilello,"Q1 Revenue Growth, YoY % Change...
Tesla $TSLA: +73.6%
Apple $AAPL: +53.6%
Facebook $FB: +47.5%
Amazon $AMZN: +43.8%
Google $GOOGL: +34.4%
Netflix $NFLX: +24.1%
Microsoft $MSFT: +19.1%
S&amp;P 500 $SPY: +5.6%",2021-04-29 20:22:59+00:00,311993,94,635,2622,q1 revenue growth yoy change tesla tsla apple aapl facebook fb amazon amzn google googl netflix nflx amp p spy,neu,0.5106
332,332,fernandofferre,"Posição de caixa líquido das FAANGs que reportaram até agora:

- GOOG: $110bn
- Apple: $83bn
- FB: $55bn
- MSFT: $44bn
= $292bn de caixa, líquido. 

Você ainda acha que é bolha? 🤔",2021-04-29 12:07:04+00:00,24221,14,10,372,posição de caixa líquido da faangs que reportaram até agora goog 110bn apple 83bn fb 55bn 44bn 292bn de caixa líquido você ainda acha que é bolha,neu,0.0
333,333,StockLizardKing,"If they just taxed Pelosi on her $MSFT calls, America would have 0 debt.",2021-04-29 01:29:36+00:00,132164,24,60,720,tax pelosi call america would debt,neu,-0.3612
335,335,clueless_1337,"Earning reports summary so far:

$MSFT 🤯
$GOOG 🤯🤯
$FB earning reports 🤯🤯🤯
$AAPL earning reports 🤯🤯🤯🤯",2021-04-28 21:34:13+00:00,10074,17,25,397,earn report summary far goog fb earn report aapl earn report,neu,0.0
336,336,eringriffith,"we are at the ""msft excel influencer making six figures"" stage of the market https://t.co/mhTTven31S",2021-04-28 17:47:34+00:00,73635,18,42,427,excel influencer make six figure stage market,neu,0.4588
337,337,HeroDividend,"💰10 Dividend Growth Stocks💰

$V 💳
$PG 🧼
$HD 👷🏻‍♂️
$WM ♻️
$TGT 🛍
$TXN 🏙
$JPM  🏦
$ABBV 💊
$MSFT  ☁️
$COST  🛒",2021-04-28 13:11:00+00:00,31716,13,40,263,dividend growth stock v pg hd wm tgt txn jpm abbv cost,neu,0.3818
338,338,BahamaBen9,"Only investing advice you'll ever need:

Buy quality stocks w/ large total addressable markets as earlier as possible &amp; do nothing.

$SHOP $TWLO $SQ $PYPL $ADYEY $TSLA $SE $MELI $AMZN $MSFT $AAPL $GOOG $DOCU $CRM $TTD $ROKU $PTON $NOW $ETSY $PINS $AVLR $CRWD $ZS $OKTA $ABNB $RDFN",2021-04-28 11:56:49+00:00,45269,49,59,590,invest advice ever need buy quality stock w large total addressable market early possible amp nothing shop twlo sq pypl adyey tsla se meli amzn aapl goog docu crm ttd roku pton etsy pin avlr crwd z okta abnb rdfn,neu,0.0
339,339,StockDweebs,"Currently in:
1. $PLTR
2. $AZN
3. $FB
4. $NKE
5. $LYFT
6. $GE (new)

Waiting to enter:
1. $XOM
2. $SAVE
3. $T
4. $XLE
5. $BAC
6. $XLV

Recent win:
1. $MSFT
2. $GOOG
3. $DKS
4. $ON
5. $AMAT
6. $WBA
7. $SEAS
8. $JNJ

Recent loss:
1. $PLUG
2. $CRON
3. $KMX
4. $GBX
5. $NFLX",2021-04-28 05:39:37+00:00,180521,22,15,268,currently pltr azn fb nke lyft ge new wait enter xom save xle bac xlv recent win goog dks amat wba sea jnj recent loss plug cron kmx gbx nflx,neu,0.6908
340,340,MarketRebels,"$MSFT LinkedIn had more than $3 billion of ad revenue in the last 12 months, more than $SNAP",2021-04-28 00:16:34+00:00,130845,6,18,297,linkedin billion ad revenue last month snap,neu,0.0
341,341,anthonypjshaw,MSFT quarterly revenue up 19%. Vscode-pets released this quarter. Coincidence? 🤷🏻‍♂️,2021-04-28 00:04:13+00:00,11826,9,11,236,quarterly revenue vscode pet release quarter coincidence,neu,0.0
343,343,cinnamon_msft,WE DID IT TEAM!! Huge shoutout to all of the contributors we’ve had since going open source ❤️❤️❤️ https://t.co/8oRjkRm9ld,2021-04-27 23:24:27+00:00,17930,40,105,929,team huge shoutout contributor since go open source,neu,0.3182
344,344,PythiaR,"If you comp Azure to $snow and give it a discount to only 40x sales, on an $8bn a quarter run rate x 40x sales = $1.3 trillion.

$600bn stub of $msft generates most of their fcf, and you're buying it at 11x free cash flow. 

This is called value investing.",2021-04-27 22:53:38+00:00,29355,7,12,263,comp azure snow give discount 40x sale 8bn quarter run rate x 40x sale trillion 600bn stub generate fcf buy 11x free cash flow call value invest,neu,0.6908
345,345,bdsams,"Teams 145 million DAUs
Windows 10 - 1.3 billion active devices
Office 365 - 300 million paid seats

That's...a lot of people using msft.",2021-04-27 21:48:27+00:00,40953,10,34,316,team million daus window billion active device office million pay seat lot people use,neu,0.3182
346,346,LibertyRPF,Nice graph by CNBC on $MSFT segments over the past few years: https://t.co/6qO5GFaWW5,2021-04-27 20:45:44+00:00,22431,5,41,246,nice graph cnbc segment past year,neu,0.4215
348,348,Investingcom,"*MICROSOFT SHARES DROP 4% AFTER Q3 EARNINGS DESPITE RECORDING BIGGEST REVENUE GROWTH SINCE 2018

$MSFT",2021-04-27 20:17:56+00:00,599524,21,49,350,share drop q3 earn despite record big revenue growth since,neu,0.4019
349,349,CNBCnow,"EARNINGS: Microsoft Q3 EPS $1.95 Adj. vs. $1.78 Est.; Q3 Revs. $41.71B vs. $41.03B Est. • $MSFT 
https://t.co/FZAudhS05i",2021-04-27 20:06:34+00:00,699151,12,80,219,earn q3 eps adj v est q3 rev 71b v 03b est,neu,0.0
350,350,mattjbrown,"$MSFT Xbox FY21 Q3 earnings

- Gaming revenue up 50%
- Xbox content and services revenue grew 34% driven by strength from Xbox Game Pass and first-party/third-party titles
- Xbox hardware revenue grew 232% driven by Xbox Series X|S",2021-04-27 20:04:45+00:00,2353,9,82,500,xbox fy21 q3 earn game revenue xbox content service revenue grow drive strength xbox game pas first party third party title xbox hardware revenue grow drive xbox series x,neu,0.8225
351,351,cinnamon_msft,"💡 Terminal tip: Set unfocused appearance settings on your profiles in Windows Terminal Preview to see which pane is active!

https://t.co/Z6vBNqtSSZ https://t.co/8BszzgLB9C",2021-04-27 17:44:57+00:00,17930,13,82,441,terminal tip set unfocused appearance set profile window terminal preview see pane active,neu,0.0
352,352,NorthmanTrader,"$MSFT is a poster child of permanent asset price inflation.
$1.97 trillion market cap.
The stock has gone up 10 years in a row.
An amazing run.
The only year it never touched its yearly 5 EMA and upper Bollinger band was in 1999.

And now. https://t.co/6X0U82waco",2021-04-27 11:42:22+00:00,305846,23,40,263,poster child permanent asset price inflation trillion market cap stock go year row amaze run year never touch yearly ema upper bollinger band,neu,0.7184
353,353,Beth_Kindig,"Today we preview the biggest week of Q1 earnings, with over 45% of the S&amp;P’s market cap set to report.

$AMZN $FB $AAPL $GOOGL $MSFT $TSLA $SHOP $AMD $PINS $TDOC $NIO $TWTR https://t.co/6t4Hb7fFJl",2021-04-26 16:25:53+00:00,99092,7,39,219,today preview big week q1 earn amp p market cap set report amzn fb aapl googl tsla shop amd pin tdoc nio twtr,neu,0.0
354,354,StockDweebs,"Currently in:
1. $PLTR
2. $NTES
3. $UNFI
4. $AZN
5. $FB
6. $NKE (new)
7. $LYFT (new)
8. $SPY (new)

Waiting to enter:
1. $SAVE
2. $XOM
3. $SAVE

Recent win:
1. $MSFT
2. $GOOG
3. $DKS
4. $ON
5. $AMAT
6. $WBA
7. $SEAS
8. $JNJ

Recent loss:
1. $PLUG
2. $CRON
3. $KMX
4. $GBX
5. $NFLX",2021-04-26 14:59:38+00:00,180521,28,18,286,currently pltr ntes unfi azn fb nke new lyft new spy new wait enter save xom save recent win goog dks amat wba sea jnj recent loss plug cron kmx gbx nflx,neu,0.836
355,355,JesseCohenInv,$AAPL $GOOGL $AMZN $MSFT $TSLA (via @BloombergTV) https://t.co/rnvhBhk0Jl,2021-04-26 14:39:29+00:00,33312,6,49,209,aapl googl amzn tsla via,neu,0.0
356,356,JesseCohenInv,"Big Tech is the highlight of the earnings calendar, with Apple, Microsoft, Amazon, Alphabet, Facebook and Tesla all releasing results.

These 6 stocks have a market cap of just about $9 trillion.

$AAPL: $2.21T
$MSFT: $1.93T
$AMZN: $1.66T
$GOOGL: $1.52T
$FB: $842B
$TSLA: $700B https://t.co/gYrIvtCMwZ",2021-04-26 13:07:27+00:00,33312,9,57,227,big tech highlight earn calendar apple amazon alphabet facebook tesla release result stock market cap trillion aapl 21t 93t amzn 66t googl 52t fb 842b tsla 700b,neu,0.4767
357,357,Melt_Dem,"Q1 earnings week is upon us...

$TSLA, $GOOGL, $MSFT, $FB, $AAPL, $AMZN, $TWTR

let's see who put #Bitcoin on their balance sheet",2021-04-26 12:30:52+00:00,214907,55,155,1296,q1 earn week upon u tsla googl fb aapl amzn twtr let see put balance sheet,neu,0.0
358,358,garyblack00,"$TSLA +1% pre-mkt to $737 in an action packed week that incl $TSLA earnings tonight, Biden’s SOTU address Wed, Fed mtg/Powell press conf Wed, 1Q GDP Thurs, plus slew of corp earnings (Tue $MSFT $GOOG, Wed $FB $AAPL, Thur $AMZN). 10yr Treas ylds 1.59% +3.2 bp, SPX flat, QQQ -0.2%.",2021-04-26 12:07:33+00:00,85543,11,20,368,tsla pre mkt action pack week incl tsla earn tonight biden sotu address wed feed mtg powell press conf wed 1q gdp thurs plus slew corp earn tue goog wed fb aapl thur amzn 10yr treas ylds bp spx flat qqq,neu,0.0
359,359,Bloqport,"NEW: Binance to list Microstrategy $MSTR, Apple $AAPL and Microsoft $MSFT as tradable stock tokens",2021-04-26 07:14:12+00:00,79634,18,102,549,new binance list microstrategy mstr apple aapl tradable stock token,neu,0.0
360,360,Investingcom,$FB $AAPL $AMZN $MSFT $GOOGL $TSLA https://t.co/TvUHu5QqtT,2021-04-26 03:30:26+00:00,599525,4,47,315,fb aapl amzn googl tsla,neu,0.0
361,361,MarketRebels,"Big week of earnings coming up.

Monday - $TSLA $ACI $AMKR
Tuesday - $GOOG $MSFT $AMD $PINS $SBUX $V $UPS $GE $MMM $BP $RTX
Wednesday - $BA $SHOP $SPOT $FB $AAPL $QCOM $TDOC $LOGI $EBAY $MGM
Thursday - $AMZN $NIO $TWTR
Friday - $XOM $CVX $CLX $AZN $ABBV",2021-04-25 23:02:13+00:00,130862,7,81,321,big week earn come monday tsla aci amkr tuesday goog amd pin sbux v up ge mmm bp rtx wednesday ba shop spot fb aapl qcom tdoc logi ebay mgm thursday amzn nio twtr friday xom cvx clx azn abbv,neu,0.0
362,362,Stephanie_Link,"Busy eps week:  
top 5 $SPX names reporting - $AAPL, $MSFT, $AMZN, $GOOGL, $FB - 22.4% of $SPX - all reporting in one week, which has only happened 4 other times.",2021-04-25 16:27:28+00:00,98444,27,51,329,busy eps week top spx name report aapl amzn googl fb spx report one week happen time,neu,0.2023
363,363,karenfinerman,"Earnings this week: $AMZN, $GOOG, $FB, $MSFT, $TSLA, $AMD, $TWTR, etc https://t.co/ujh12pLD9e",2021-04-25 15:33:56+00:00,83003,63,47,646,earn week amzn goog fb tsla amd twtr etc,neu,0.0
364,364,JesseCohenInv,"💥 This Week's Most Notable #Earnings (via @eWhispers)

Mon: $TSLA
Tues: $MSFT $GOOGL $AMD $PINS $V $SBUX $UPS $MMM $GE $TXN
Wed: $AAPL $FB $BA $F $SHOP $TDOC $SPOT $QCOM $EBAY $YUM
Thurs: $AMZN $TWTR $NIO $MCD $CAT $MA $GILD $MRK $DPZ $MO
Fri: $XOM $CVX $AZN $ABBV $CLX $CL

$SPY https://t.co/gtYDagEtIq",2021-04-25 11:52:19+00:00,33312,8,64,230,week notable via mon tsla tues googl amd pin v sbux up mmm ge txn wed aapl fb ba f shop tdoc spot qcom ebay yum thurs amzn twtr nio mcd cat gild mrk dpz mo fri xom cvx azn abbv clx cl spy,neu,0.0
365,365,OMillionaires,"Some implies moves for #earnings next week:

$TSLA 8.0%
$MSFT 3.5%
$GOOGL 4.7%
$AMZN 4.5%
$FB 5.8%
$AAPL 4.5%
$SHOP 7.3%
$PINS 12.9%
$SPOT 7.9%
$TDOC 8.4%
$TWTR 10.3%
$BA 4.4%
$NIO 9.5%
$MCD 2.8%
$SBUX 3.9%
$DPZ 5.8%
$SWKS 5.2%
$ENPH 11.4%
$V 2.9%
$UPS 4.9%",2021-04-25 11:04:09+00:00,105652,20,108,492,imply move next week tsla googl amzn fb aapl shop pin spot tdoc twtr ba nio mcd sbux dpz swks enph v up,neu,0.0
366,366,Kosukeitou,"良い企業をリスト化しても最後は結局いつもと同じような顔触れになる。

■〜$50B
$OKTA $TRUP $CHWY $EXPI $BAND $TWOU  $CHGG $FUBO $TDOC $DDOG $CM $FVRR 

■$50B〜
$SQ $NVDA $MSFT $ABNB $UBER",2021-04-25 00:41:47+00:00,43215,4,42,511,50b okta trup chwy expi band twou chgg fubo tdoc ddog cm fvrr 50b sq nvda abnb uber,neu,0.0
367,367,eWhispers,"#earnings for the week 

https://t.co/lObOE0dgsr 

$AAPL $TSLA $AMD $AMZN $MSFT $FB $NIO $BA $UPS $PINS $GE $SHOP $GOOGL $QCOM $XOM $F $MMM $ABBV $ACI $TWTR $X $SPOT $TDOC $CL $V $CAT $LLY $ENPH $SAND $OTIS $SWKS $CROX $MRK $RTX $MCD $SBUX $OSTK $BP $NXPI $DPZ $BMY $MA $GLW $CHKP https://t.co/wR4Snpnea0",2021-04-24 14:36:51+00:00,283538,70,812,1958,week aapl tsla amd amzn fb nio ba up pin ge shop googl qcom xom f mmm abbv aci twtr x spot tdoc cl v cat lly enph sand otis swks crox mrk rtx mcd sbux ostk bp nxpi dpz bmy glw chkp,neu,0.0
368,368,Dividend_Dollar,"A stock correcting today doesn't worry me because all I'm worried about is where it will be in 20, 30, or 40 years!

$GOOGL
$DMTK
$AAPL
$RDFN
$MSFT
$CRWD
$TDOC
$SQ
$HD
$ABBV
$BRK.B
$SKLZ
$SE
$SPOT
$DIS
$SBUX
$V
$JNJ
$ROKU
$ETSY

20 stocks I think will outperform over the years",2021-04-24 14:15:00+00:00,29593,27,47,356,stock correct today worry worry year googl dmtk aapl rdfn crwd tdoc sq hd abbv brk b sklz se spot dis sbux v jnj roku etsy stock think outperform year,neu,-0.7003
369,369,jicchamatome,"👴ビデオ速報:
来週の注目決算発表: $TSLA $GOOG $MSFT $AAPL $FB $AMZN - 全ての銘柄が良い決算を出してくると思う",2021-04-24 09:39:19+00:00,107023,5,24,515,tsla goog aapl fb amzn,neu,0.0
370,370,NekoStocks,"来週の決算

4/26 AH $TSLA $NXPI
4/27 PM $UPS $MMM $LLY $NVS $SSTK
4/27 AH $AMD $MSFT $GOOGL $PINS $V $ENPH
4/28 PM $SHOP $SPOT $DISCA
4/28 AH $AAPL $FB $TDOC $NOW $QCOM
4/29 PM $MCD $MA $TMO $MRK
4/29 AH $AMZN $NIO $TEAM $ZEN $MVIS $GILD
4/30 PM $AZN $ABBV

テック＆ヘルスケア祭？",2021-04-24 01:58:02+00:00,29671,1,66,308,ah tsla nxpi pm up mmm lly nv sstk ah amd googl pin v enph pm shop spot disca ah aapl fb tdoc qcom pm mcd tmo mrk ah amzn nio team zen mvis gild pm azn abbv,neu,0.0
372,372,BusinessFamous,"📦 Jeff Bezos $AMZN
🚗 Elon Musk $TSLA
🖥️ Bill Gates $MSFT
📱 Warren Buffett $BRK.B
🙂📘 Mark Zuckerberg $FB

You can invest as little as $1 a time alongside the RICHEST MEN ON THE PLANET

But you *don't know what to invest in*",2021-04-23 20:23:54+00:00,34353,22,46,292,jeff bezos amzn elon musk tsla bill gate warren buffett brk b mark zuckerberg fb invest little time alongside rich men planet know invest,neu,0.5165
373,373,TheJoyfulTrader,"$10,000 Invested 5 Years Ago:

$FB: ~$25,600
$GOOG: ~$32,200
$MSFT: ~$52,300
$AAPL: ~$57,000
$TSLA: ~$155,000
$NVCR: ~$155,500
$SQ: ~$165,000
$NVDA: ~$173,000
$AMD: ~$230,000
$ETSY: ~$240,000
$SHOP: ~$356,600
$BTC: ~$1,132,500

What future multibaggers are you buying today?",2021-04-23 14:01:00+00:00,20771,242,382,2014,invest year ago fb goog aapl tsla nvcr sq nvda amd etsy shop btc future multibaggers buy today,neu,0.0
